Stock,Stock Name,Stock Long Name,Board,Sector
"=""5188""",CNOUHUA,CHINA OUHUA WINERY HLDGS LTD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5189""",MAXWELL,MAXWELL INT HOLDINGS BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5189WA""",MAXWELL-WA,MAXWELL INTERNATIONAL HOLDINGS BERHAD - WA 2015/2020,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5190""",BENALEC,BENALEC HOLDINGS BERHAD,MAIN MARKET,CONSTRUCTION
"=""5191""",TAMBUN,TAMBUN INDAH LAND BERHAD,MAIN MARKET,PROPERTY
"=""5192""",KSSC,K. SENG SENG CORPORATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5194""",APFT,APFT BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5195""",CENSOF,CENSOF HOLDINGS BERHAD,MAIN MARKET,TECHNOLOGY
"=""5195WB""",CENSOF-WB,CENSOF HOLDINGS BERHAD - WARRANTS B 14/19,MAIN MARKET,TECHNOLOGY
"=""5196""",BJFOOD,BERJAYA FOOD BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5197""",FLBHD,FOCUS LUMBER BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5198""",AFUJIYA,ABM FUJIYA BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5199""",HIBISCS,HIBISCUS PETROLEUM BHD,MAIN MARKET,ENERGY
"=""5199CI""",HIBISCS-CI,HIBISCS-CI: CW HIBISCUS PETROLEUM BERHAD (MACQ),STRCWARR,ENERGY
"=""5199CJ""",HIBISCS-CJ,HIBISCS-CJ: CW HIBISCUS PETROLEUM BERHAD (RHB),STRCWARR,ENERGY
"=""5199CK""",HIBISCS-CK,HIBISCS-CK: CW HIBISCUS PETROLEUM BERHAD (KIBB),STRCWARR,ENERGY
"=""5199CL""",HIBISCS-CL,HIBISCS-CL: CW HIBISCUS PETROLEUM BERHAD (AM),STRCWARR,ENERGY
"=""5199CM""",HIBISCS-CM,HIBISCS-CM: CW HIBISCUS PETROLEUM BERHAD (MIBB),STRCWARR,ENERGY
"=""5199CN""",HIBISCS-CN,HIBISCS-CN: CW HIBISCUS PETROLEUM BERHAD (RHB),STRCWARR,ENERGY
"=""5199CO""",HIBISCS-CO,HIBISCS-CO: CW HIBISCUS PETROLEUM BERHAD (RHB),STRCWARR,ENERGY
"=""5199CP""",HIBISCS-CP,HIBISCS-CP: CW HIBISCUS PETROLEUM BERHAD (AM),STRCWARR,ENERGY
"=""5199WC""",HIBISCS-WC,HIBISCUS PETROLEUM BERHAD - WARRANTS 2018/2021,MAIN MARKET,ENERGY
"=""5200""",UOADEV,UOA DEVELOPMENT BERHAD,MAIN MARKET,PROPERTY
"=""5202""",MSM,MSM MALAYSIA HOLDINGS BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5204""",PRESBHD,PRESTARIANG BERHAD,MAIN MARKET,TECHNOLOGY
"=""5205""",SENDAI,EVERSENDAI CORPORATION BERHAD,MAIN MARKET,CONSTRUCTION
"=""5207""",SBCCORP,SBC CORPORATION BHD,MAIN MARKET,PROPERTY
"=""5208""",EITA,EITA RESOURCES BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5209""",GASMSIA,GAS MALAYSIA BERHAD,MAIN MARKET,UTILITIES
"=""5210""",ARMADA,BUMI ARMADA BERHAD,MAIN MARKET,ENERGY
"=""521039""",ARMADA-C39,ARMADA-C39: CW BUMI ARMADA BERHAD (MIBB),STRCWARR,ENERGY
"=""521040""",ARMADA-C40,ARMADA-C40: CW BUMI ARMADA BERHAD (CIMB),STRCWARR,ENERGY
"=""521041""",ARMADA-C41,ARMADA-C41: CW BUMI ARMADA BERHAD (MACQ),STRCWARR,ENERGY
"=""521042""",ARMADA-C42,ARMADA-C42: CW BUMI ARMADA BERHAD (RHB),STRCWARR,ENERGY
